1.007409	0.082619
1.112794	0.123977
1.192321	0.155488
1.279901	0.187003
1.40746		0.227533
1.486842	0.263538
1.614401	0.304067
1.741708	0.352461
1.869088	0.398609
2.020267	0.456007
2.155988	0.493171
2.315653	0.537091
2.467445	0.575388
2.667414	0.61821
2.867455	0.658784
3.035642	0.688103
3.219937	0.717432
3.476641	0.749053
3.693221	0.776155
4.062639	0.80897
4.392077	0.832771
4.802014	0.857746
5.252327	0.879376
5.598268	0.890828
5.984477	0.902305
6.346526	0.913767
6.813306	0.924171
7.199624	0.932277
7.851671	0.941673
8.423256	0.948771
8.914341	0.954696
9.308784	0.96056
9.638978	0.960766
9.92078		0.96319
