
Rate modification view 1:

			Reaction			 Modification Factor 
kr116 -> n + n + n + rb113 + electron + anti-neutrino_e  0.0000e+00
kr116 -> n + n + rb114 + electron + anti-neutrino_e      0.0000e+00
kr116 -> n + rb115 + electron + anti-neutrino_e          0.0000e+00
kr117 -> n + n + n + rb114 + electron + anti-neutrino_e  0.0000e+00
kr117 -> n + n + rb115 + electron + anti-neutrino_e      0.0000e+00
kr117 -> n + rb116 + electron + anti-neutrino_e          0.0000e+00
kr118 -> n + n + n + rb115 + electron + anti-neutrino_e  0.0000e+00
kr118 -> n + n + rb116 + electron + anti-neutrino_e      0.0000e+00
kr118 -> n + rb117 + electron + anti-neutrino_e          0.0000e+00
kr119 -> n + n + n + rb116 + electron + anti-neutrino_e  0.0000e+00
kr119 -> n + n + rb117 + electron + anti-neutrino_e      0.0000e+00
kr119 -> n + rb118 + electron + anti-neutrino_e          0.0000e+00
kr120 -> n + n + n + rb117 + electron + anti-neutrino_e  0.0000e+00
kr120 -> n + n + rb118 + electron + anti-neutrino_e      0.0000e+00
kr120 -> n + rb119 + electron + anti-neutrino_e          0.0000e+00
kr121 -> n + rb120 + electron + anti-neutrino_e          0.0000e+00
kr122 -> n + n + rb120 + electron + anti-neutrino_e      0.0000e+00
kr123 -> n + rb122 + electron + anti-neutrino_e          0.0000e+00
kr124 -> n + rb123 + electron + anti-neutrino_e          0.0000e+00
kr92 -> n + rb91 + electron + anti-neutrino_e            0.0000e+00
kr93 -> n + rb92 + electron + anti-neutrino_e            0.0000e+00
kr94 -> n + rb93 + electron + anti-neutrino_e            0.0000e+00
kr95 -> n + rb94 + electron + anti-neutrino_e            0.0000e+00
kr96 -> n + rb95 + electron + anti-neutrino_e            0.0000e+00
kr97 -> n + n + rb95 + electron + anti-neutrino_e        0.0000e+00
kr97 -> n + rb96 + electron + anti-neutrino_e            0.0000e+00
kr98 -> n + rb97 + electron + anti-neutrino_e            0.0000e+00
kr99 -> n + n + rb97 + electron + anti-neutrino_e        0.0000e+00
kr99 -> n + rb98 + electron + anti-neutrino_e            0.0000e+00
li11 -> n + be10 + electron + anti-neutrino_e            0.0000e+00
li11 -> n + he4 + he6 + electron + anti-neutrino_e       0.0000e+00
li11 -> n + n + be9 + electron + anti-neutrino_e         0.0000e+00
li9 -> n + he4 + he4 + electron + anti-neutrino_e        0.0000e+00
mg30 -> n + al29 + electron + anti-neutrino_e            0.0000e+00
mg31 -> n + al30 + electron + anti-neutrino_e            0.0000e+00
mg32 -> n + al31 + electron + anti-neutrino_e            0.0000e+00
mg33 -> n + al32 + electron + anti-neutrino_e            0.0000e+00
mg33 -> n + n + al31 + electron + anti-neutrino_e        0.0000e+00
mg34 -> n + al33 + electron + anti-neutrino_e            0.0000e+00
mg34 -> n + n + al32 + electron + anti-neutrino_e        0.0000e+00
mg35 -> n + al34 + electron + anti-neutrino_e            0.0000e+00
mg35 -> n + n + al33 + electron + anti-neutrino_e        0.0000e+00
mg35 -> n + n + n + al32 + electron + anti-neutrino_e    0.0000e+00
mg36 -> n + al35 + electron + anti-neutrino_e            0.0000e+00
mg36 -> n + n + al34 + electron + anti-neutrino_e        0.0000e+00
mg36 -> n + n + n + al33 + electron + anti-neutrino_e    0.0000e+00
mg37 -> n + al36 + electron + anti-neutrino_e            0.0000e+00
mg37 -> n + n + al35 + electron + anti-neutrino_e        0.0000e+00
mg37 -> n + n + n + al34 + electron + anti-neutrino_e    0.0000e+00
mg38 -> n + al37 + electron + anti-neutrino_e            0.0000e+00
mg38 -> n + n + al36 + electron + anti-neutrino_e        0.0000e+00
mg38 -> n + n + n + al35 + electron + anti-neutrino_e    0.0000e+00
mg39 -> n + al38 + electron + anti-neutrino_e            0.0000e+00
mg39 -> n + n + al37 + electron + anti-neutrino_e        0.0000e+00
mg39 -> n + n + n + al36 + electron + anti-neutrino_e    0.0000e+00
mg40 -> n + al39 + electron + anti-neutrino_e            0.0000e+00
mg40 -> n + n + al38 + electron + anti-neutrino_e        0.0000e+00
mg40 -> n + n + n + al37 + electron + anti-neutrino_e    0.0000e+00
mg41 -> n + al40 + electron + anti-neutrino_e            0.0000e+00
mg42 -> n + al41 + electron + anti-neutrino_e            0.0000e+00
mg42 -> n + n + al40 + electron + anti-neutrino_e        0.0000e+00
mg43 -> n + al42 + electron + anti-neutrino_e            0.0000e+00
mg44 -> n + al43 + electron + anti-neutrino_e            0.0000e+00
mg45 -> n + al44 + electron + anti-neutrino_e            0.0000e+00
mg46 -> n + n + al44 + electron + anti-neutrino_e        0.0000e+00
mg47 -> n + al46 + electron + anti-neutrino_e            0.0000e+00
mn61 -> n + fe60 + electron + anti-neutrino_e            0.0000e+00
mn62 -> n + fe61 + electron + anti-neutrino_e            0.0000e+00
mn63 -> n + fe62 + electron + anti-neutrino_e            0.0000e+00
mn64 -> n + fe63 + electron + anti-neutrino_e            0.0000e+00
mn65 -> n + fe64 + electron + anti-neutrino_e            0.0000e+00
mn66 -> n + fe65 + electron + anti-neutrino_e            0.0000e+00
mn66 -> n + n + fe64 + electron + anti-neutrino_e        0.0000e+00
mn67 -> n + fe66 + electron + anti-neutrino_e            0.0000e+00
mn67 -> n + n + fe65 + electron + anti-neutrino_e        0.0000e+00
mn68 -> n + fe67 + electron + anti-neutrino_e            0.0000e+00
mn68 -> n + n + fe66 + electron + anti-neutrino_e        0.0000e+00
mn69 -> n + fe68 + electron + anti-neutrino_e            0.0000e+00
mn69 -> n + n + fe67 + electron + anti-neutrino_e        0.0000e+00
mn70 -> n + fe69 + electron + anti-neutrino_e            0.0000e+00
mn70 -> n + n + fe68 + electron + anti-neutrino_e        0.0000e+00
mn71 -> n + fe70 + electron + anti-neutrino_e            0.0000e+00
mn71 -> n + n + fe69 + electron + anti-neutrino_e        0.0000e+00
mn71 -> n + n + n + fe68 + electron + anti-neutrino_e    0.0000e+00
mn72 -> n + fe71 + electron + anti-neutrino_e            0.0000e+00
mn72 -> n + n + fe70 + electron + anti-neutrino_e        0.0000e+00
mn72 -> n + n + n + fe69 + electron + anti-neutrino_e    0.0000e+00
mn73 -> n + fe72 + electron + anti-neutrino_e            0.0000e+00
mn73 -> n + n + fe71 + electron + anti-neutrino_e        0.0000e+00
mn73 -> n + n + n + fe70 + electron + anti-neutrino_e    0.0000e+00
mn74 -> n + fe73 + electron + anti-neutrino_e            0.0000e+00
mn74 -> n + n + fe72 + electron + anti-neutrino_e        0.0000e+00
mn74 -> n + n + n + fe71 + electron + anti-neutrino_e    0.0000e+00
mn75 -> n + fe74 + electron + anti-neutrino_e            0.0000e+00
mn75 -> n + n + fe73 + electron + anti-neutrino_e        0.0000e+00
mn75 -> n + n + n + fe72 + electron + anti-neutrino_e    0.0000e+00
mn76 -> n + fe75 + electron + anti-neutrino_e            0.0000e+00
mn76 -> n + n + fe74 + electron + anti-neutrino_e        0.0000e+00
mn76 -> n + n + n + fe73 + electron + anti-neutrino_e    0.0000e+00
mn77 -> n + fe76 + electron + anti-neutrino_e            0.0000e+00
mn77 -> n + n + fe75 + electron + anti-neutrino_e        0.0000e+00
mn77 -> n + n + n + fe74 + electron + anti-neutrino_e    0.0000e+00
mn78 -> n + n + fe76 + electron + anti-neutrino_e        0.0000e+00
mn78 -> n + n + n + fe75 + electron + anti-neutrino_e    0.0000e+00
mn79 -> n + fe78 + electron + anti-neutrino_e            0.0000e+00
mn79 -> n + n + fe77 + electron + anti-neutrino_e        0.0000e+00
mn79 -> n + n + n + fe76 + electron + anti-neutrino_e    0.0000e+00
mn80 -> n + fe79 + electron + anti-neutrino_e            0.0000e+00
mn81 -> n + fe80 + electron + anti-neutrino_e            0.0000e+00
mn81 -> n + n + fe79 + electron + anti-neutrino_e        0.0000e+00
mn82 -> n + fe81 + electron + anti-neutrino_e            0.0000e+00
mn83 -> n + fe82 + electron + anti-neutrino_e            0.0000e+00
mn83 -> n + n + fe81 + electron + anti-neutrino_e        0.0000e+00
mn84 -> n + fe83 + electron + anti-neutrino_e            0.0000e+00
mn85 -> n + n + fe83 + electron + anti-neutrino_e        0.0000e+00
mn86 -> n + fe85 + electron + anti-neutrino_e            0.0000e+00
mn87 -> n + n + fe85 + electron + anti-neutrino_e        0.0000e+00
mn88 -> n + fe87 + electron + anti-neutrino_e            0.0000e+00
mn89 -> n + n + fe87 + electron + anti-neutrino_e        0.0000e+00
mo108 -> n + tc107 + electron + anti-neutrino_e          0.0000e+00
mo109 -> n + tc108 + electron + anti-neutrino_e          0.0000e+00
mo110 -> n + tc109 + electron + anti-neutrino_e          0.0000e+00
mo111 -> n + tc110 + electron + anti-neutrino_e          0.0000e+00
mo112 -> n + tc111 + electron + anti-neutrino_e          0.0000e+00
mo113 -> n + tc112 + electron + anti-neutrino_e          0.0000e+00
mo114 -> n + tc113 + electron + anti-neutrino_e          0.0000e+00
mo115 -> n + n + tc113 + electron + anti-neutrino_e      0.0000e+00
mo115 -> n + tc114 + electron + anti-neutrino_e          0.0000e+00
mo116 -> n + tc115 + electron + anti-neutrino_e          0.0000e+00
mo117 -> n + n + tc115 + electron + anti-neutrino_e      0.0000e+00
mo117 -> n + tc116 + electron + anti-neutrino_e          0.0000e+00
mo118 -> n + n + tc116 + electron + anti-neutrino_e      0.0000e+00
mo118 -> n + tc117 + electron + anti-neutrino_e          0.0000e+00
mo119 -> n + n + tc117 + electron + anti-neutrino_e      0.0000e+00
mo119 -> n + tc118 + electron + anti-neutrino_e          0.0000e+00
mo120 -> n + n + tc118 + electron + anti-neutrino_e      0.0000e+00
mo120 -> n + tc119 + electron + anti-neutrino_e          0.0000e+00
mo121 -> n + n + tc119 + electron + anti-neutrino_e      0.0000e+00
mo121 -> n + tc120 + electron + anti-neutrino_e          0.0000e+00
mo122 -> n + n + n + tc119 + electron + anti-neutrino_e  0.0000e+00
mo122 -> n + n + tc120 + electron + anti-neutrino_e      0.0000e+00
mo122 -> n + tc121 + electron + anti-neutrino_e          0.0000e+00
mo123 -> n + n + n + tc120 + electron + anti-neutrino_e  0.0000e+00
mo123 -> n + n + tc121 + electron + anti-neutrino_e      0.0000e+00
mo123 -> n + tc122 + electron + anti-neutrino_e          0.0000e+00
mo124 -> n + n + n + tc121 + electron + anti-neutrino_e  0.0000e+00
mo124 -> n + n + tc122 + electron + anti-neutrino_e      0.0000e+00
mo124 -> n + tc123 + electron + anti-neutrino_e          0.0000e+00
mo125 -> n + n + n + tc122 + electron + anti-neutrino_e  0.0000e+00
mo125 -> n + n + tc123 + electron + anti-neutrino_e      0.0000e+00
mo125 -> n + tc124 + electron + anti-neutrino_e          0.0000e+00
mo126 -> n + n + n + tc123 + electron + anti-neutrino_e  0.0000e+00
mo126 -> n + n + tc124 + electron + anti-neutrino_e      0.0000e+00
mo126 -> n + tc125 + electron + anti-neutrino_e          0.0000e+00
mo127 -> n + n + n + tc124 + electron + anti-neutrino_e  0.0000e+00
mo127 -> n + n + tc125 + electron + anti-neutrino_e      0.0000e+00
mo127 -> n + tc126 + electron + anti-neutrino_e          0.0000e+00
mo128 -> n + n + n + tc125 + electron + anti-neutrino_e  0.0000e+00
mo128 -> n + n + tc126 + electron + anti-neutrino_e      0.0000e+00
mo128 -> n + tc127 + electron + anti-neutrino_e          0.0000e+00
mo129 -> n + n + n + tc126 + electron + anti-neutrino_e  0.0000e+00
mo129 -> n + n + tc127 + electron + anti-neutrino_e      0.0000e+00
mo129 -> n + tc128 + electron + anti-neutrino_e          0.0000e+00
mo130 -> n + n + n + tc127 + electron + anti-neutrino_e  0.0000e+00
mo130 -> n + n + tc128 + electron + anti-neutrino_e      0.0000e+00
mo130 -> n + tc129 + electron + anti-neutrino_e          0.0000e+00
mo131 -> n + tc130 + electron + anti-neutrino_e          0.0000e+00
mo132 -> n + n + tc130 + electron + anti-neutrino_e      0.0000e+00
mo132 -> n + tc131 + electron + anti-neutrino_e          0.0000e+00
mo133 -> n + tc132 + electron + anti-neutrino_e          0.0000e+00
mo134 -> n + n + tc132 + electron + anti-neutrino_e      0.0000e+00
mo134 -> n + tc133 + electron + anti-neutrino_e          0.0000e+00
mo135 -> n + n + n + tc132 + electron + anti-neutrino_e  0.0000e+00
mo135 -> n + n + tc133 + electron + anti-neutrino_e      0.0000e+00
mo135 -> n + tc134 + electron + anti-neutrino_e          0.0000e+00
mo136 -> n + n + n + tc133 + electron + anti-neutrino_e  0.0000e+00
mo136 -> n + n + tc134 + electron + anti-neutrino_e      0.0000e+00
mo136 -> n + tc135 + electron + anti-neutrino_e          0.0000e+00
mo137 -> n + tc136 + electron + anti-neutrino_e          0.0000e+00
mo138 -> n + n + tc136 + electron + anti-neutrino_e      0.0000e+00
mo138 -> n + tc137 + electron + anti-neutrino_e          0.0000e+00
mo139 -> n + tc138 + electron + anti-neutrino_e          0.0000e+00
mo140 -> n + n + tc138 + electron + anti-neutrino_e      0.0000e+00
mo140 -> n + tc139 + electron + anti-neutrino_e          0.0000e+00
mo141 -> n + tc140 + electron + anti-neutrino_e          0.0000e+00
mo142 -> n + n + tc140 + electron + anti-neutrino_e      0.0000e+00
mo143 -> n + tc142 + electron + anti-neutrino_e          0.0000e+00
mo144 -> n + n + tc142 + electron + anti-neutrino_e      0.0000e+00
n17 -> n + o16 + electron + anti-neutrino_e              0.0000e+00
n18 -> n + o17 + electron + anti-neutrino_e              0.0000e+00
n19 -> n + o18 + electron + anti-neutrino_e              0.0000e+00
n20 -> n + o19 + electron + anti-neutrino_e              0.0000e+00
n21 -> n + o20 + electron + anti-neutrino_e              0.0000e+00
n22 -> n + n + o20 + electron + anti-neutrino_e          0.0000e+00
n22 -> n + o21 + electron + anti-neutrino_e              0.0000e+00
na27 -> n + mg26 + electron + anti-neutrino_e            0.0000e+00
na28 -> n + mg27 + electron + anti-neutrino_e            0.0000e+00
na29 -> n + mg28 + electron + anti-neutrino_e            0.0000e+00
na30 -> n + mg29 + electron + anti-neutrino_e            0.0000e+00
na30 -> n + n + mg28 + electron + anti-neutrino_e        0.0000e+00
na31 -> n + mg30 + electron + anti-neutrino_e            0.0000e+00
na31 -> n + n + mg29 + electron + anti-neutrino_e        0.0000e+00
na31 -> n + n + n + mg28 + electron + anti-neutrino_e    0.0000e+00
na32 -> n + mg31 + electron + anti-neutrino_e            0.0000e+00
na32 -> n + n + mg30 + electron + anti-neutrino_e        0.0000e+00
na32 -> n + n + n + mg29 + electron + anti-neutrino_e    0.0000e+00
na33 -> n + mg32 + electron + anti-neutrino_e            0.0000e+00
na33 -> n + n + mg31 + electron + anti-neutrino_e        0.0000e+00
na33 -> n + n + n + mg30 + electron + anti-neutrino_e    0.0000e+00
na34 -> n + mg33 + electron + anti-neutrino_e            0.0000e+00
na34 -> n + n + mg32 + electron + anti-neutrino_e        0.0000e+00
na34 -> n + n + n + mg31 + electron + anti-neutrino_e    0.0000e+00
na35 -> n + mg34 + electron + anti-neutrino_e            0.0000e+00
na35 -> n + n + mg33 + electron + anti-neutrino_e        0.0000e+00
na35 -> n + n + n + mg32 + electron + anti-neutrino_e    0.0000e+00
na36 -> n + mg35 + electron + anti-neutrino_e            0.0000e+00
na37 -> n + mg36 + electron + anti-neutrino_e            0.0000e+00
na37 -> n + n + mg35 + electron + anti-neutrino_e        0.0000e+00
na38 -> n + mg37 + electron + anti-neutrino_e            0.0000e+00
na39 -> n + mg38 + electron + anti-neutrino_e            0.0000e+00
na39 -> n + n + mg37 + electron + anti-neutrino_e        0.0000e+00
na40 -> n + mg39 + electron + anti-neutrino_e            0.0000e+00
na41 -> n + n + mg39 + electron + anti-neutrino_e        0.0000e+00
na42 -> n + mg41 + electron + anti-neutrino_e            0.0000e+00
na43 -> n + n + mg41 + electron + anti-neutrino_e        0.0000e+00
na44 -> n + mg43 + electron + anti-neutrino_e            0.0000e+00
nb104 -> n + mo103 + electron + anti-neutrino_e          0.0000e+00
nb105 -> n + mo104 + electron + anti-neutrino_e          0.0000e+00
nb106 -> n + mo105 + electron + anti-neutrino_e          0.0000e+00
nb107 -> n + mo106 + electron + anti-neutrino_e          0.0000e+00
nb108 -> n + mo107 + electron + anti-neutrino_e          0.0000e+00
nb109 -> n + mo108 + electron + anti-neutrino_e          0.0000e+00
nb110 -> n + mo109 + electron + anti-neutrino_e          0.0000e+00
nb110 -> n + n + mo108 + electron + anti-neutrino_e      0.0000e+00
nb111 -> n + mo110 + electron + anti-neutrino_e          0.0000e+00
nb112 -> n + mo111 + electron + anti-neutrino_e          0.0000e+00
nb112 -> n + n + mo110 + electron + anti-neutrino_e      0.0000e+00
nb113 -> n + mo112 + electron + anti-neutrino_e          0.0000e+00
nb113 -> n + n + mo111 + electron + anti-neutrino_e      0.0000e+00
nb114 -> n + mo113 + electron + anti-neutrino_e          0.0000e+00
nb114 -> n + n + mo112 + electron + anti-neutrino_e      0.0000e+00
nb114 -> n + n + n + mo111 + electron + anti-neutrino_e  0.0000e+00
nb115 -> n + mo114 + electron + anti-neutrino_e          0.0000e+00
nb115 -> n + n + mo113 + electron + anti-neutrino_e      0.0000e+00
nb115 -> n + n + n + mo112 + electron + anti-neutrino_e  0.0000e+00
nb116 -> n + mo115 + electron + anti-neutrino_e          0.0000e+00
nb116 -> n + n + mo114 + electron + anti-neutrino_e      0.0000e+00
nb116 -> n + n + n + mo113 + electron + anti-neutrino_e  0.0000e+00
nb117 -> n + mo116 + electron + anti-neutrino_e          0.0000e+00
nb117 -> n + n + mo115 + electron + anti-neutrino_e      0.0000e+00
nb117 -> n + n + n + mo114 + electron + anti-neutrino_e  0.0000e+00
nb118 -> n + mo117 + electron + anti-neutrino_e          0.0000e+00
nb118 -> n + n + mo116 + electron + anti-neutrino_e      0.0000e+00
nb118 -> n + n + n + mo115 + electron + anti-neutrino_e  0.0000e+00
nb119 -> n + mo118 + electron + anti-neutrino_e          0.0000e+00
nb119 -> n + n + mo117 + electron + anti-neutrino_e      0.0000e+00
nb119 -> n + n + n + mo116 + electron + anti-neutrino_e  0.0000e+00
nb120 -> n + mo119 + electron + anti-neutrino_e          0.0000e+00
nb120 -> n + n + mo118 + electron + anti-neutrino_e      0.0000e+00
nb120 -> n + n + n + mo117 + electron + anti-neutrino_e  0.0000e+00
nb121 -> n + mo120 + electron + anti-neutrino_e          0.0000e+00
nb121 -> n + n + mo119 + electron + anti-neutrino_e      0.0000e+00
nb121 -> n + n + n + mo118 + electron + anti-neutrino_e  0.0000e+00
nb122 -> n + mo121 + electron + anti-neutrino_e          0.0000e+00
nb122 -> n + n + mo120 + electron + anti-neutrino_e      0.0000e+00
nb122 -> n + n + n + mo119 + electron + anti-neutrino_e  0.0000e+00
nb123 -> n + mo122 + electron + anti-neutrino_e          0.0000e+00
nb123 -> n + n + mo121 + electron + anti-neutrino_e      0.0000e+00
nb123 -> n + n + n + mo120 + electron + anti-neutrino_e  0.0000e+00
nb124 -> n + mo123 + electron + anti-neutrino_e          0.0000e+00
nb124 -> n + n + mo122 + electron + anti-neutrino_e      0.0000e+00
nb124 -> n + n + n + mo121 + electron + anti-neutrino_e  0.0000e+00
nb125 -> n + mo124 + electron + anti-neutrino_e          0.0000e+00
nb125 -> n + n + mo123 + electron + anti-neutrino_e      0.0000e+00
nb125 -> n + n + n + mo122 + electron + anti-neutrino_e  0.0000e+00
nb126 -> n + n + mo124 + electron + anti-neutrino_e      0.0000e+00
nb126 -> n + n + n + mo123 + electron + anti-neutrino_e  0.0000e+00
nb127 -> n + mo126 + electron + anti-neutrino_e          0.0000e+00
nb127 -> n + n + mo125 + electron + anti-neutrino_e      0.0000e+00
nb127 -> n + n + n + mo124 + electron + anti-neutrino_e  0.0000e+00
nb128 -> n + mo127 + electron + anti-neutrino_e          0.0000e+00
nb129 -> n + n + mo127 + electron + anti-neutrino_e      0.0000e+00
nb130 -> n + mo129 + electron + anti-neutrino_e          0.0000e+00
nb131 -> n + mo130 + electron + anti-neutrino_e          0.0000e+00
nb131 -> n + n + mo129 + electron + anti-neutrino_e      0.0000e+00
nb132 -> n + mo131 + electron + anti-neutrino_e          0.0000e+00
nb133 -> n + mo132 + electron + anti-neutrino_e          0.0000e+00
nb133 -> n + n + mo131 + electron + anti-neutrino_e      0.0000e+00
nb134 -> n + mo133 + electron + anti-neutrino_e          0.0000e+00
nb135 -> n + mo134 + electron + anti-neutrino_e          0.0000e+00
nb135 -> n + n + mo133 + electron + anti-neutrino_e      0.0000e+00
nb136 -> n + mo135 + electron + anti-neutrino_e          0.0000e+00
nb137 -> n + n + mo135 + electron + anti-neutrino_e      0.0000e+00
nb138 -> n + mo137 + electron + anti-neutrino_e          0.0000e+00
nb139 -> n + n + mo137 + electron + anti-neutrino_e      0.0000e+00
nb140 -> n + mo139 + electron + anti-neutrino_e          0.0000e+00
ne26 -> n + na25 + electron + anti-neutrino_e            0.0000e+00
ne27 -> n + na26 + electron + anti-neutrino_e            0.0000e+00
ne28 -> n + n + na26 + electron + anti-neutrino_e        0.0000e+00
ne28 -> n + na27 + electron + anti-neutrino_e            0.0000e+00
ne29 -> n + n + na27 + electron + anti-neutrino_e        0.0000e+00
ne29 -> n + na28 + electron + anti-neutrino_e            0.0000e+00
ne30 -> n + n + na28 + electron + anti-neutrino_e        0.0000e+00
ne30 -> n + na29 + electron + anti-neutrino_e            0.0000e+00
ne31 -> n + n + n + na28 + electron + anti-neutrino_e    0.0000e+00
ne31 -> n + n + na29 + electron + anti-neutrino_e        0.0000e+00
ne31 -> n + na30 + electron + anti-neutrino_e            0.0000e+00
ne32 -> n + n + n + na29 + electron + anti-neutrino_e    0.0000e+00
ne32 -> n + n + na30 + electron + anti-neutrino_e        0.0000e+00
ne32 -> n + na31 + electron + anti-neutrino_e            0.0000e+00
ne33 -> n + n + n + na30 + electron + anti-neutrino_e    0.0000e+00
ne33 -> n + n + na31 + electron + anti-neutrino_e        0.0000e+00
ne33 -> n + na32 + electron + anti-neutrino_e            0.0000e+00
ne34 -> n + n + n + na31 + electron + anti-neutrino_e    0.0000e+00
ne34 -> n + n + na32 + electron + anti-neutrino_e        0.0000e+00
ne34 -> n + na33 + electron + anti-neutrino_e            0.0000e+00
ne35 -> n + n + n + na32 + electron + anti-neutrino_e    0.0000e+00
ne35 -> n + n + na33 + electron + anti-neutrino_e        0.0000e+00
ne35 -> n + na34 + electron + anti-neutrino_e            0.0000e+00
ne36 -> n + n + n + na33 + electron + anti-neutrino_e    0.0000e+00
ne36 -> n + n + na34 + electron + anti-neutrino_e        0.0000e+00
ne36 -> n + na35 + electron + anti-neutrino_e            0.0000e+00
ne37 -> n + na36 + electron + anti-neutrino_e            0.0000e+00
ne38 -> n + n + na36 + electron + anti-neutrino_e        0.0000e+00
ne39 -> n + na38 + electron + anti-neutrino_e            0.0000e+00
ne40 -> n + n + na38 + electron + anti-neutrino_e        0.0000e+00
ne41 -> n + na40 + electron + anti-neutrino_e            0.0000e+00
ni73 -> n + cu72 + electron + anti-neutrino_e            0.0000e+00
ni74 -> n + cu73 + electron + anti-neutrino_e            0.0000e+00
ni75 -> n + cu74 + electron + anti-neutrino_e            0.0000e+00
ni76 -> n + cu75 + electron + anti-neutrino_e            0.0000e+00
ni77 -> n + cu76 + electron + anti-neutrino_e            0.0000e+00
ni78 -> n + cu77 + electron + anti-neutrino_e            0.0000e+00
ni79 -> n + cu78 + electron + anti-neutrino_e            0.0000e+00
ni79 -> n + n + cu77 + electron + anti-neutrino_e        0.0000e+00
ni80 -> n + cu79 + electron + anti-neutrino_e            0.0000e+00
ni80 -> n + n + cu78 + electron + anti-neutrino_e        0.0000e+00
ni80 -> n + n + n + cu77 + electron + anti-neutrino_e    0.0000e+00
ni81 -> n + cu80 + electron + anti-neutrino_e            0.0000e+00
ni81 -> n + n + cu79 + electron + anti-neutrino_e        0.0000e+00
ni81 -> n + n + n + cu78 + electron + anti-neutrino_e    0.0000e+00
ni82 -> n + cu81 + electron + anti-neutrino_e            0.0000e+00
ni82 -> n + n + cu80 + electron + anti-neutrino_e        0.0000e+00
ni82 -> n + n + n + cu79 + electron + anti-neutrino_e    0.0000e+00
ni83 -> n + cu82 + electron + anti-neutrino_e            0.0000e+00
ni83 -> n + n + cu81 + electron + anti-neutrino_e        0.0000e+00
ni83 -> n + n + n + cu80 + electron + anti-neutrino_e    0.0000e+00
ni84 -> n + cu83 + electron + anti-neutrino_e            0.0000e+00
ni84 -> n + n + cu82 + electron + anti-neutrino_e        0.0000e+00
ni84 -> n + n + n + cu81 + electron + anti-neutrino_e    0.0000e+00
ni85 -> n + cu84 + electron + anti-neutrino_e            0.0000e+00
ni85 -> n + n + cu83 + electron + anti-neutrino_e        0.0000e+00
ni85 -> n + n + n + cu82 + electron + anti-neutrino_e    0.0000e+00
ni86 -> n + cu85 + electron + anti-neutrino_e            0.0000e+00
ni86 -> n + n + cu84 + electron + anti-neutrino_e        0.0000e+00
ni86 -> n + n + n + cu83 + electron + anti-neutrino_e    0.0000e+00
ni87 -> n + cu86 + electron + anti-neutrino_e            0.0000e+00
ni87 -> n + n + cu85 + electron + anti-neutrino_e        0.0000e+00
ni87 -> n + n + n + cu84 + electron + anti-neutrino_e    0.0000e+00
ni88 -> n + cu87 + electron + anti-neutrino_e            0.0000e+00
ni88 -> n + n + cu86 + electron + anti-neutrino_e        0.0000e+00
ni88 -> n + n + n + cu85 + electron + anti-neutrino_e    0.0000e+00
ni89 -> n + cu88 + electron + anti-neutrino_e            0.0000e+00
ni89 -> n + n + cu87 + electron + anti-neutrino_e        0.0000e+00
ni89 -> n + n + n + cu86 + electron + anti-neutrino_e    0.0000e+00
ni90 -> n + cu89 + electron + anti-neutrino_e            0.0000e+00
ni90 -> n + n + cu88 + electron + anti-neutrino_e        0.0000e+00
ni90 -> n + n + n + cu87 + electron + anti-neutrino_e    0.0000e+00
ni91 -> n + cu90 + electron + anti-neutrino_e            0.0000e+00
ni91 -> n + n + cu89 + electron + anti-neutrino_e        0.0000e+00
ni91 -> n + n + n + cu88 + electron + anti-neutrino_e    0.0000e+00
ni92 -> n + cu91 + electron + anti-neutrino_e            0.0000e+00
ni92 -> n + n + cu90 + electron + anti-neutrino_e        0.0000e+00
ni92 -> n + n + n + cu89 + electron + anti-neutrino_e    0.0000e+00
ni93 -> n + cu92 + electron + anti-neutrino_e            0.0000e+00
ni94 -> n + cu93 + electron + anti-neutrino_e            0.0000e+00
ni94 -> n + n + cu92 + electron + anti-neutrino_e        0.0000e+00
ni95 -> n + cu94 + electron + anti-neutrino_e            0.0000e+00
ni96 -> n + n + cu94 + electron + anti-neutrino_e        0.0000e+00
ni97 -> n + cu96 + electron + anti-neutrino_e            0.0000e+00
ni98 -> n + n + cu96 + electron + anti-neutrino_e        0.0000e+00
ni99 -> n + cu98 + electron + anti-neutrino_e            0.0000e+00
o22 -> n + f21 + electron + anti-neutrino_e              0.0000e+00
o23 -> n + f22 + electron + anti-neutrino_e              0.0000e+00
o24 -> n + f23 + electron + anti-neutrino_e              0.0000e+00
o25 -> n + f24 + electron + anti-neutrino_e              0.0000e+00
o25 -> n + n + f23 + electron + anti-neutrino_e          0.0000e+00
o26 -> n + f25 + electron + anti-neutrino_e              0.0000e+00
o26 -> n + n + f24 + electron + anti-neutrino_e          0.0000e+00
o26 -> n + n + n + f23 + electron + anti-neutrino_e      0.0000e+00
o28 -> n + f27 + electron + anti-neutrino_e              0.0000e+00
o28 -> n + n + f26 + electron + anti-neutrino_e          0.0000e+00
o28 -> n + n + n + f25 + electron + anti-neutrino_e      0.0000e+00
o30 -> n + n + f28 + electron + anti-neutrino_e          0.0000e+00
p37 -> n + s36 + electron + anti-neutrino_e              0.0000e+00
p38 -> n + s37 + electron + anti-neutrino_e              0.0000e+00
p39 -> n + s38 + electron + anti-neutrino_e              0.0000e+00
p40 -> n + n + s38 + electron + anti-neutrino_e          0.0000e+00
p40 -> n + s39 + electron + anti-neutrino_e              0.0000e+00
