
Rate modification view 1:

			Reaction			 Modification Factor 
as103 -> n + n + n + se100 + electron + anti-neutrino_e  0.0000e+00
as103 -> n + n + se101 + electron + anti-neutrino_e      0.0000e+00
as103 -> n + se102 + electron + anti-neutrino_e          0.0000e+00
as104 -> n + n + n + se101 + electron + anti-neutrino_e  0.0000e+00
as104 -> n + n + se102 + electron + anti-neutrino_e      0.0000e+00
as104 -> n + se103 + electron + anti-neutrino_e          0.0000e+00
as105 -> n + n + n + se102 + electron + anti-neutrino_e  0.0000e+00
as105 -> n + n + se103 + electron + anti-neutrino_e      0.0000e+00
as105 -> n + se104 + electron + anti-neutrino_e          0.0000e+00
as106 -> n + n + n + se103 + electron + anti-neutrino_e  0.0000e+00
as106 -> n + n + se104 + electron + anti-neutrino_e      0.0000e+00
as107 -> n + n + n + se104 + electron + anti-neutrino_e  0.0000e+00
as107 -> n + se106 + electron + anti-neutrino_e          0.0000e+00
as108 -> n + se107 + electron + anti-neutrino_e          0.0000e+00
as109 -> n + n + se107 + electron + anti-neutrino_e      0.0000e+00
as109 -> n + se108 + electron + anti-neutrino_e          0.0000e+00
as110 -> n + se109 + electron + anti-neutrino_e          0.0000e+00
as111 -> n + n + se109 + electron + anti-neutrino_e      0.0000e+00
as111 -> n + se110 + electron + anti-neutrino_e          0.0000e+00
as112 -> n + se111 + electron + anti-neutrino_e          0.0000e+00
as113 -> n + n + se111 + electron + anti-neutrino_e      0.0000e+00
as113 -> n + se112 + electron + anti-neutrino_e          0.0000e+00
as114 -> n + se113 + electron + anti-neutrino_e          0.0000e+00
as115 -> n + n + se113 + electron + anti-neutrino_e      0.0000e+00
as115 -> n + se114 + electron + anti-neutrino_e          0.0000e+00
as84 -> n + se83 + electron + anti-neutrino_e            0.0000e+00
as85 -> n + se84 + electron + anti-neutrino_e            0.0000e+00
as86 -> n + n + se84 + electron + anti-neutrino_e        0.0000e+00
as86 -> n + se85 + electron + anti-neutrino_e            0.0000e+00
as87 -> n + se86 + electron + anti-neutrino_e            0.0000e+00
as88 -> n + n + se86 + electron + anti-neutrino_e        0.0000e+00
as88 -> n + se87 + electron + anti-neutrino_e            0.0000e+00
as89 -> n + n + se87 + electron + anti-neutrino_e        0.0000e+00
as89 -> n + se88 + electron + anti-neutrino_e            0.0000e+00
as90 -> n + n + se88 + electron + anti-neutrino_e        0.0000e+00
as90 -> n + se89 + electron + anti-neutrino_e            0.0000e+00
as91 -> n + n + n + se88 + electron + anti-neutrino_e    0.0000e+00
as91 -> n + n + se89 + electron + anti-neutrino_e        0.0000e+00
as91 -> n + se90 + electron + anti-neutrino_e            0.0000e+00
as92 -> n + n + n + se89 + electron + anti-neutrino_e    0.0000e+00
as92 -> n + n + se90 + electron + anti-neutrino_e        0.0000e+00
as92 -> n + se91 + electron + anti-neutrino_e            0.0000e+00
as93 -> n + n + n + se90 + electron + anti-neutrino_e    0.0000e+00
as93 -> n + n + se91 + electron + anti-neutrino_e        0.0000e+00
